,NAME,Median Household,state,county,Unnamed: 4
0,"Baldwin County, Alabama",48461,1,3,
1,"Calhoun County, Alabama",41428,1,15,
2,"Cullman County, Alabama",38261,1,43,
3,"DeKalb County, Alabama",35023,1,49,
4,"Elmore County, Alabama",55530,1,51,
5,"Etowah County, Alabama",40529,1,55,
6,"Houston County, Alabama",39543,1,69,
7,"Jefferson County, Alabama",44646,1,73,
8,"Lauderdale County, Alabama",40309,1,77,
9,"Lee County, Alabama",39932,1,81,
10,"Limestone County, Alabama",49672,1,83,
11,"Madison County, Alabama",58339,1,89,
12,"Marshall County, Alabama",33446,1,95,
13,"Mobile County, Alabama",43642,1,97,
14,"Montgomery County, Alabama",43346,1,101,
15,"Morgan County, Alabama",44708,1,103,
16,"St. Clair County, Alabama",50146,1,115,
17,"Shelby County, Alabama",67754,1,117,
18,"Talladega County, Alabama",39971,1,121,
19,"Tuscaloosa County, Alabama",47531,1,125,
20,"Walker County, Alabama",35495,1,127,
21,"Anchorage Municipality, Alaska",76337,2,20,
22,"Fairbanks North Star Borough, Alaska",69820,2,90,
23,"Matanuska-Susitna Borough, Alaska",73831,2,170,
24,"Apache County, Arizona",33076,4,1,
25,"Cochise County, Arizona",45688,4,3,
26,"Coconino County, Arizona",49757,4,5,
27,"Maricopa County, Arizona",53896,4,13,
28,"Mohave County, Arizona",37674,4,15,
29,"Navajo County, Arizona",34600,4,17,
30,"Pima County, Arizona",45856,4,19,
31,"Pinal County, Arizona",49867,4,21,
32,"Yavapai County, Arizona",44255,4,25,
33,"Yuma County, Arizona",40008,4,27,
34,"Benton County, Arkansas",56981,5,7,
35,"Craighead County, Arkansas",42691,5,31,
36,"Faulkner County, Arkansas",51650,5,45,
37,"Garland County, Arkansas",41032,5,51,
38,"Jefferson County, Arkansas",32433,5,69,
39,"Lonoke County, Arkansas",54545,5,85,
40,"Pulaski County, Arkansas",44860,5,119,
41,"Saline County, Arkansas",53926,5,125,
42,"Sebastian County, Arkansas",38418,5,131,
43,"Washington County, Arkansas",45034,5,143,
44,"White County, Arkansas",39340,5,145,
45,"Alameda County, California",77214,6,1,
46,"Butte County, California",42365,6,7,
47,"Contra Costa County, California",80361,6,13,
48,"El Dorado County, California",71113,6,17,
49,"Fresno County, California",43423,6,19,
50,"Humboldt County, California",40598,6,23,
51,"Imperial County, California",39290,6,25,
52,"Kern County, California",47644,6,29,
53,"Kings County, California",42784,6,31,
54,"Lake County, California",34529,6,33,
55,"Los Angeles County, California",55746,6,37,
56,"Madera County, California",42433,6,39,
57,"Marin County, California",95749,6,41,
58,"Mendocino County, California",42660,6,45,
59,"Merced County, California",44084,6,47,
60,"Monterey County, California",57864,6,53,
61,"Napa County, California",74123,6,55,
62,"Nevada County, California",56917,6,57,
63,"Orange County, California",76306,6,59,
64,"Placer County, California",75390,6,61,
65,"Riverside County, California",57006,6,65,
66,"Sacramento County, California",55842,6,67,
67,"San Bernardino County, California",52041,6,71,
68,"San Diego County, California",66192,6,73,
69,"San Francisco County, California",85070,6,75,
70,"San Joaquin County, California",51659,6,77,
71,"San Luis Obispo County, California",63474,6,79,
72,"San Mateo County, California",101051,6,81,
73,"Santa Barbara County, California",63833,6,83,
74,"Santa Clara County, California",97532,6,85,
75,"Santa Cruz County, California",65368,6,87,
76,"Shasta County, California",43706,6,89,
77,"Solano County, California",67999,6,95,
78,"Sonoma County, California",67771,6,97,
79,"Stanislaus County, California",51084,6,99,
80,"Sutter County, California",54433,6,101,
81,"Tulare County, California",42611,6,107,
82,"Ventura County, California",75449,6,111,
83,"Yolo County, California",53765,6,113,
84,"Yuba County, California",42143,6,115,
85,"Adams County, Colorado",59659,8,1,
86,"Arapahoe County, Colorado",65327,8,5,
87,"Boulder County, Colorado",71540,8,13,
88,"Denver County, Colorado",54941,8,31,
89,"Douglas County, Colorado",103226,8,35,
90,"El Paso County, Colorado",59446,8,41,
91,"Jefferson County, Colorado",70714,8,59,
92,"Larimer County, Colorado",56575,8,69,
93,"Mesa County, Colorado",50174,8,77,
94,"Pueblo County, Colorado",41047,8,101,
95,"Weld County, Colorado",62083,8,123,
96,"Fairfield County, Connecticut",85925,9,1,
97,"Hartford County, Connecticut",65894,9,3,
98,"Litchfield County, Connecticut",73756,9,5,
99,"Middlesex County, Connecticut",75876,9,7,
100,"New Haven County, Connecticut",60391,9,9,
101,"New London County, Connecticut",66148,9,11,
102,"Tolland County, Connecticut",78786,9,13,
103,"Windham County, Connecticut",59195,9,15,
104,"Kent County, Delaware",55227,10,1,
105,"New Castle County, Delaware",64801,10,3,
106,"Sussex County, Delaware",55011,10,5,
107,"District of Columbia, District of Columbia",71648,11,1,
108,"Alachua County, Florida",45228,12,1,
109,"Bay County, Florida",44775,12,5,
110,"Brevard County, Florida",47907,12,9,
111,"Broward County, Florida",51608,12,11,
112,"Charlotte County, Florida",43039,12,15,
113,"Citrus County, Florida",35671,12,17,
114,"Clay County, Florida",58153,12,19,
115,"Collier County, Florida",58026,12,21,
116,"Columbia County, Florida",38520,12,23,
117,"Duval County, Florida",45779,12,31,
118,"Escambia County, Florida",46655,12,33,
119,"Flagler County, Florida",51622,12,35,
120,"Hernando County, Florida",40255,12,53,
121,"Highlands County, Florida",36120,12,55,
122,"Hillsborough County, Florida",50796,12,57,
123,"Indian River County, Florida",46238,12,61,
124,"Lake County, Florida",47191,12,69,
125,"Lee County, Florida",49055,12,71,
126,"Leon County, Florida",44824,12,73,
127,"Manatee County, Florida",52031,12,81,
128,"Marion County, Florida",39958,12,83,
129,"Martin County, Florida",55866,12,85,
130,"Miami-Dade County, Florida",42926,12,86,
131,"Monroe County, Florida",59388,12,87,
132,"Nassau County, Florida",52249,12,89,
133,"Okaloosa County, Florida",57640,12,91,
134,"Orange County, Florida",47055,12,95,
135,"Osceola County, Florida",42899,12,97,
136,"Palm Beach County, Florida",52203,12,99,
137,"Pasco County, Florida",45349,12,101,
138,"Pinellas County, Florida",45152,12,103,
139,"Polk County, Florida",42780,12,105,
140,"Putnam County, Florida",30765,12,107,
141,"St. Johns County, Florida",65976,12,109,
142,"St. Lucie County, Florida",42359,12,111,
143,"Santa Rosa County, Florida",60317,12,113,
144,"Sarasota County, Florida",52109,12,115,
145,"Seminole County, Florida",56322,12,117,
146,"Sumter County, Florida",50942,12,119,
147,"Volusia County, Florida",40818,12,127,
148,"Barrow County, Georgia",47834,13,13,
149,"Bartow County, Georgia",53675,13,15,
150,"Bibb County, Georgia",35397,13,21,
151,"Bulloch County, Georgia",32841,13,31,
152,"Carroll County, Georgia",40744,13,45,
153,"Catoosa County, Georgia",52412,13,47,
154,"Chatham County, Georgia",50718,13,51,
155,"Cherokee County, Georgia",69711,13,57,
156,"Clarke County, Georgia",29996,13,59,
157,"Clayton County, Georgia",43287,13,63,
158,"Cobb County, Georgia",67043,13,67,
159,"Columbia County, Georgia",66925,13,73,
160,"Coweta County, Georgia",59506,13,77,
161,"DeKalb County, Georgia",50542,13,89,
162,"Dougherty County, Georgia",31755,13,95,
163,"Douglas County, Georgia",54826,13,97,
164,"Fayette County, Georgia",77016,13,113,
165,"Floyd County, Georgia",41752,13,115,
166,"Forsyth County, Georgia",85639,13,117,
167,"Fulton County, Georgia",55807,13,121,
168,"Glynn County, Georgia",47333,13,127,
169,"Gwinnett County, Georgia",59492,13,135,
170,"Hall County, Georgia",52519,13,139,
171,"Henry County, Georgia",58242,13,151,
172,"Houston County, Georgia",51054,13,153,
173,"Liberty County, Georgia",41812,13,179,
174,"Lowndes County, Georgia",38733,13,185,
175,"Muscogee County, Georgia",42176,13,215,
176,"Newton County, Georgia",46790,13,217,
177,"Paulding County, Georgia",62453,13,223,
178,"Richmond County, Georgia",35793,13,245,
179,"Rockdale County, Georgia",46524,13,247,
180,"Troup County, Georgia",40486,13,285,
181,"Walker County, Georgia",38493,13,295,
182,"Walton County, Georgia",50895,13,297,
183,"Whitfield County, Georgia",42069,13,313,
184,"Hawaii County, Hawaii",52788,15,1,
185,"Honolulu County, Hawaii",74634,15,3,
186,"Kauai County, Hawaii",64847,15,7,
187,"Maui County, Hawaii",67013,15,9,
188,"Ada County, Idaho",57716,16,1,
189,"Bannock County, Idaho",44018,16,5,
190,"Bonneville County, Idaho",49626,16,19,
191,"Canyon County, Idaho",43250,16,27,
192,"Kootenai County, Idaho",48776,16,55,
193,"Twin Falls County, Idaho",43624,16,83,
194,"Adams County, Illinois",45606,17,1,
195,"Champaign County, Illinois",46776,17,19,
196,"Cook County, Illinois",55069,17,31,
197,"DeKalb County, Illinois",56450,17,37,
198,"DuPage County, Illinois",80015,17,43,
199,"Kane County, Illinois",72541,17,89,
200,"Kankakee County, Illinois",58378,17,91,
201,"Kendall County, Illinois",90072,17,93,
202,"Lake County, Illinois",77772,17,97,
203,"LaSalle County, Illinois",50432,17,99,
204,"McHenry County, Illinois",76628,17,111,
205,"McLean County, Illinois",58061,17,113,
206,"Macon County, Illinois",47574,17,115,
207,"Madison County, Illinois",54438,17,119,
208,"Peoria County, Illinois",52352,17,143,
209,"Rock Island County, Illinois",47751,17,161,
210,"St. Clair County, Illinois",50428,17,163,
211,"Sangamon County, Illinois",55103,17,167,
212,"Tazewell County, Illinois",60801,17,179,
213,"Vermilion County, Illinois",41690,17,183,
214,"Will County, Illinois",74828,17,197,
215,"Williamson County, Illinois",49153,17,199,
216,"Winnebago County, Illinois",47121,17,201,
217,"Allen County, Indiana",48521,18,3,
218,"Bartholomew County, Indiana",53002,18,5,
219,"Clark County, Indiana",52674,18,19,
220,"Delaware County, Indiana",39323,18,35,
221,"Elkhart County, Indiana",49937,18,39,
222,"Floyd County, Indiana",52819,18,43,
223,"Grant County, Indiana",39851,18,53,
224,"Hamilton County, Indiana",88155,18,57,
225,"Hancock County, Indiana",67485,18,59,
226,"Hendricks County, Indiana",66989,18,63,
227,"Howard County, Indiana",47159,18,67,
228,"Johnson County, Indiana",55201,18,81,
229,"Kosciusko County, Indiana",53825,18,85,
230,"Lake County, Indiana",50852,18,89,
231,"LaPorte County, Indiana",45744,18,91,
232,"Madison County, Indiana",45134,18,95,
233,"Marion County, Indiana",42557,18,97,
234,"Monroe County, Indiana",43657,18,105,
235,"Morgan County, Indiana",52891,18,109,
236,"Porter County, Indiana",60903,18,127,
237,"St. Joseph County, Indiana",46254,18,141,
238,"Tippecanoe County, Indiana",45771,18,157,
239,"Vanderburgh County, Indiana",42044,18,163,
240,"Vigo County, Indiana",41385,18,167,
241,"Wayne County, Indiana",41204,18,177,
242,"Black Hawk County, Iowa",51685,19,13,
243,"Dallas County, Iowa",77412,19,49,
244,"Dubuque County, Iowa",56129,19,61,
245,"Johnson County, Iowa",60254,19,103,
246,"Linn County, Iowa",62984,19,113,
247,"Polk County, Iowa",60978,19,153,
248,"Pottawattamie County, Iowa",52239,19,155,
249,"Scott County, Iowa",54679,19,163,
250,"Story County, Iowa",46091,19,169,
251,"Woodbury County, Iowa",44721,19,193,
252,"Butler County, Kansas",58791,20,15,
253,"Douglas County, Kansas",48565,20,45,
254,"Johnson County, Kansas",75679,20,91,
255,"Leavenworth County, Kansas",66779,20,103,
256,"Riley County, Kansas",44825,20,161,
257,"Sedgwick County, Kansas",50996,20,173,
258,"Shawnee County, Kansas",53507,20,177,
259,"Wyandotte County, Kansas",36637,20,209,
260,"Boone County, Kentucky",65736,21,15,
261,"Bullitt County, Kentucky",54690,21,29,
262,"Campbell County, Kentucky",50872,21,37,
263,"Christian County, Kentucky",35755,21,47,
264,"Daviess County, Kentucky",41685,21,59,
265,"Fayette County, Kentucky",47968,21,67,
266,"Hardin County, Kentucky",50900,21,93,
267,"Jefferson County, Kentucky",48210,21,111,
268,"Kenton County, Kentucky",54300,21,117,
269,"McCracken County, Kentucky",36712,21,145,
270,"Madison County, Kentucky",43973,21,151,
271,"Pike County, Kentucky",31426,21,195,
272,"Warren County, Kentucky",50752,21,227,
273,"Ascension Parish, Louisiana",66576,22,5,
274,"Bossier Parish, Louisiana",50704,22,15,
275,"Caddo Parish, Louisiana",39315,22,17,
276,"Calcasieu Parish, Louisiana",45742,22,19,
277,"East Baton Rouge Parish, Louisiana",46778,22,33,
278,"Iberia Parish, Louisiana",46290,22,45,
279,"Jefferson Parish, Louisiana",46961,22,51,
280,"Lafayette Parish, Louisiana",51060,22,55,
281,"Lafourche Parish, Louisiana",41842,22,57,
282,"Livingston Parish, Louisiana",60466,22,63,
283,"Orleans Parish, Louisiana",35504,22,71,
284,"Ouachita Parish, Louisiana",41139,22,73,
285,"Rapides Parish, Louisiana",40434,22,79,
286,"St. Landry Parish, Louisiana",27753,22,97,
287,"St. Tammany Parish, Louisiana",63210,22,103,
288,"Tangipahoa Parish, Louisiana",40689,22,105,
289,"Terrebonne Parish, Louisiana",46678,22,109,
290,"Androscoggin County, Maine",48007,23,1,
291,"Aroostook County, Maine",35439,23,3,
292,"Cumberland County, Maine",61992,23,5,
293,"Kennebec County, Maine",44633,23,11,
294,"Penobscot County, Maine",42242,23,19,
295,"York County, Maine",55509,23,31,
296,"Allegany County, Maryland",39653,24,1,
297,"Anne Arundel County, Maryland",87217,24,3,
298,"Baltimore County, Maryland",68257,24,5,
299,"Calvert County, Maryland",95110,24,9,
300,"Carroll County, Maryland",85274,24,13,
301,"Cecil County, Maryland",61940,24,15,
302,"Charles County, Maryland",88803,24,17,
303,"Frederick County, Maryland",84203,24,21,
304,"Harford County, Maryland",79649,24,25,
305,"Howard County, Maryland",107490,24,27,
306,"Montgomery County, Maryland",97765,24,31,
307,"Prince George's County, Maryland",72290,24,33,
308,"St. Mary's County, Maryland",86417,24,37,
309,"Washington County, Maryland",55471,24,43,
310,"Wicomico County, Maryland",53432,24,45,
311,"Baltimore city, Maryland",42665,24,510,
312,"Barnstable County, Massachusetts",65384,25,1,
313,"Berkshire County, Massachusetts",50211,25,3,
314,"Bristol County, Massachusetts",58057,25,5,
315,"Essex County, Massachusetts",70366,25,9,
316,"Franklin County, Massachusetts",55572,25,11,
317,"Hampden County, Massachusetts",49211,25,13,
318,"Hampshire County, Massachusetts",56079,25,15,
319,"Middlesex County, Massachusetts",84464,25,17,
320,"Norfolk County, Massachusetts",90506,25,21,
321,"Plymouth County, Massachusetts",74936,25,23,
322,"Suffolk County, Massachusetts",54585,25,25,
323,"Worcester County, Massachusetts",65407,25,27,
324,"Allegan County, Michigan",53796,26,5,
325,"Bay County, Michigan",46844,26,17,
326,"Berrien County, Michigan",44031,26,21,
327,"Calhoun County, Michigan",46088,26,25,
328,"Clinton County, Michigan",58453,26,37,
329,"Eaton County, Michigan",57087,26,45,
330,"Genesee County, Michigan",41682,26,49,
331,"Grand Traverse County, Michigan",57312,26,55,
332,"Ingham County, Michigan",45616,26,65,
333,"Isabella County, Michigan",41931,26,73,
334,"Jackson County, Michigan",45371,26,75,
335,"Kalamazoo County, Michigan",45148,26,77,
336,"Kent County, Michigan",53304,26,81,
337,"Lapeer County, Michigan",50860,26,87,
338,"Lenawee County, Michigan",46739,26,91,
339,"Livingston County, Michigan",73819,26,93,
340,"Macomb County, Michigan",54792,26,99,
341,"Marquette County, Michigan",44267,26,103,
342,"Midland County, Michigan",49194,26,111,
343,"Monroe County, Michigan",57275,26,115,
344,"Muskegon County, Michigan",42600,26,121,
345,"Oakland County, Michigan",69293,26,125,
346,"Ottawa County, Michigan",60343,26,139,
347,"Saginaw County, Michigan",44931,26,145,
348,"St. Clair County, Michigan",50319,26,147,
349,"Shiawassee County, Michigan",48523,26,155,
350,"Van Buren County, Michigan",47435,26,159,
351,"Washtenaw County, Michigan",62845,26,161,
352,"Wayne County, Michigan",41435,26,163,
353,"Anoka County, Minnesota",70915,27,3,
354,"Blue Earth County, Minnesota",48850,27,13,
355,"Carver County, Minnesota",83594,27,19,
356,"Dakota County, Minnesota",76213,27,37,
357,"Hennepin County, Minnesota",64433,27,53,
358,"Olmsted County, Minnesota",69731,27,109,
359,"Ramsey County, Minnesota",55101,27,123,
360,"Rice County, Minnesota",60527,27,131,
361,"St. Louis County, Minnesota",50040,27,137,
362,"Scott County, Minnesota",92107,27,139,
363,"Sherburne County, Minnesota",77532,27,141,
364,"Stearns County, Minnesota",56040,27,145,
365,"Washington County, Minnesota",83545,27,163,
366,"Wright County, Minnesota",77442,27,171,
367,"DeSoto County, Mississippi",58073,28,33,
368,"Forrest County, Mississippi",38904,28,35,
369,"Harrison County, Mississippi",40846,28,47,
370,"Hinds County, Mississippi",38543,28,49,
371,"Jackson County, Mississippi",47822,28,59,
372,"Jones County, Mississippi",36374,28,67,
373,"Lauderdale County, Mississippi",40333,28,75,
374,"Lee County, Mississippi",43204,28,81,
375,"Madison County, Mississippi",67746,28,89,
376,"Rankin County, Mississippi",58755,28,121,
377,"Boone County, Missouri",50085,29,19,
378,"Buchanan County, Missouri",46764,29,21,
379,"Cape Girardeau County, Missouri",47438,29,31,
380,"Cass County, Missouri",60849,29,37,
381,"Christian County, Missouri",51692,29,43,
382,"Clay County, Missouri",61384,29,47,
383,"Cole County, Missouri",51210,29,51,
384,"Franklin County, Missouri",51682,29,71,
385,"Greene County, Missouri",39611,29,77,
386,"Jackson County, Missouri",45874,29,95,
387,"Jasper County, Missouri",39886,29,97,
388,"Jefferson County, Missouri",59327,29,99,
389,"Platte County, Missouri",69787,29,165,
390,"St. Charles County, Missouri",73989,29,183,
391,"St. Francois County, Missouri",41713,29,187,
392,"St. Louis County, Missouri",59993,29,189,
393,"St. Louis city, Missouri",35959,29,510,
394,"Cascade County, Montana",42170,30,13,
395,"Flathead County, Montana",47362,30,29,
396,"Gallatin County, Montana",50238,30,31,
397,"Lewis and Clark County, Montana",53435,30,49,
398,"Missoula County, Montana",44289,30,63,
399,"Yellowstone County, Montana",51508,30,111,
400,"Douglas County, Nebraska",52505,31,55,
401,"Lancaster County, Nebraska",51766,31,109,
402,"Sarpy County, Nebraska",73775,31,153,
403,"Clark County, Nevada",51214,32,3,
404,"Washoe County, Nevada",52618,32,31,
405,"Cheshire County, New Hampshire",56652,33,5,
406,"Grafton County, New Hampshire",57210,33,9,
407,"Hillsborough County, New Hampshire",71422,33,11,
408,"Merrimack County, New Hampshire",62418,33,13,
409,"Rockingham County, New Hampshire",79922,33,15,
410,"Strafford County, New Hampshire",58976,33,17,
411,"Atlantic County, New Jersey",55313,34,1,
412,"Bergen County, New Jersey",84677,34,3,
413,"Burlington County, New Jersey",80896,34,5,
414,"Camden County, New Jersey",62330,34,7,
415,"Cape May County, New Jersey",56899,34,9,
416,"Cumberland County, New Jersey",45339,34,11,
417,"Essex County, New Jersey",54754,34,13,
418,"Gloucester County, New Jersey",79704,34,15,
419,"Hudson County, New Jersey",58479,34,17,
